Age,District,Gender,Marital status,Education level,Income level,Appointment ease,Waiting time,Waiting time expectation,Doctor empathy,Doctor listen,Treatment plan,Doctor information,Encouraged questions,Visiting time,Decision involve,Medicine details,Follow-up recommendation,Follow-up attendance,Doctor ignoring,Recommend services,Patient satisfaction
36-45,Nilphamari,Male,Married,Secondary,Lower middle class,No,61-90,As I expected,Yes,Yes,Yes,No,Yes,5,Yes,No,No,No,No,Yes,satisfied
16-25,Rangpur,Male,Single,Higher Education,Lower middle class,No,91-120,As I expected,Yes,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes,satisfied
46-55,Kurigram,Female,Married,Illiterate,Lower middle class,Yes,91-120,Had to wait more than I expected,No,No,No,No,No,4,Yes,No,Yes,Yes,No,No,dissatisfied
16-25,Rangpur,Male,Single,Secondary,Middle class,Yes,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,No,Yes,Yes,Yes,satisfied
16-25,Lalmonirhat,Male,Single,Higher Education,Middle class,No,91-120,Had to wait more than I expected,Yes,Yes,Yes,Yes,No,5,Yes,Yes,Yes,Yes,No,Yes,dissatisfied
26-35,Kurigram,Male,Single,Higher Education,Lower middle class,Yes,31-60,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,No,No,Yes,Yes,satisfied
26-35,Rangpur,Male,Married,Primary,Lower middle class,Yes,61-90,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
36-45,Panchagarh,Female,Married,Secondary,Middle class,Yes,121-150,Had to wait more than I expected,Yes,Yes,No,No,No,7,Yes,No,No,No,No,Yes,satisfied
36-45,Rangpur,Male,Married,Higher Education,Lower middle class,No,91-120,Had to wait more than I expected,No,No,No,No,No,2,No,Yes,No,No,No,Yes,dissatisfied
55+,Rangpur,Male,Married,Primary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
26-35,Rangpur,Female,Married,Primary,Lower Class,No,0-30,Had to wait more than I expected,Yes,Yes,Yes,No,Yes,7,Yes,Yes,Yes,Yes,No,Yes,satisfied
26-35,Nilphamari,Male,Single,Higher Education,Lower Class,Yes,91-120,As I expected,Yes,Yes,Yes,Yes,Yes,7,Yes,Yes,Yes,Yes,No,Yes,satisfied
46-55,Nilphamari,Male,Married,Primary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
55+,Rangpur,Male,Married,Primary,Middle class,Yes,121-150,As I expected,Yes,Yes,Yes,No,Yes,13,Yes,No,Yes,Yes,No,Yes,satisfied
36-45,Dinajpur,Female,Married,Higher Education,Lower middle class,No,61-90,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,8,Yes,Yes,Yes,No,No,Yes,satisfied
26-35,Nilphamari,Male,Married,Primary,Lower middle class,Yes,151-180,As I expected,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,No,No,No,Yes,satisfied
36-45,Thakurgaon,Male,Married,Primary,Lower middle class,No,61-90,As I expected,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,No,No,No,Yes,satisfied
55+,Rangpur,Male,Married,Primary,Middle class,No,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
26-35,Thakurgaon,Female,Married,Secondary,Lower middle class,Yes,91-120,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,No,No,No,Yes,satisfied
26-35,Rangpur,Male,Single,Higher Education,Middle class,No,151-180,Had to wait more than I expected,No,No,No,No,No,4,No,No,Yes,No,Yes,No,dissatisfied
36-45,Panchagarh,Male,Married,Higher Education,Middle class,No,91-120,Had to wait more than I expected,No,No,No,No,Yes,10,No,No,Yes,Yes,Yes,Yes,satisfied
55+,Rangpur,Male,Married,Primary,Lower Class,Yes,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes,Yes,No,Yes,satisfied
16-25,Rangpur,Male,Single,Primary,Middle class,Yes,31-60,As I expected,Yes,Yes,Yes,No,Yes,12,Yes,Yes,No,No,No,Yes,satisfied
26-35,Nilphamari,Male,Married,Higher Education,Middle class,No,91-120,Had to wait more than I expected,Yes,Yes,No,No,Yes,10,Yes,No,Yes,No,No,Yes,satisfied
16-25,Rangpur,Male,Married,Illiterate,Lower middle class,No,31-60,As I expected,Yes,Yes,Yes,No,Yes,8,Yes,No,Yes,No,No,Neutral,satisfied
55+,Kurigram,Male,Married,Higher Education,Middle class,No,61-90,Had to wait more than I expected,Yes,Yes,No,No,Yes,20,Yes,No,No,No,Yes,Yes,satisfied
16-25,Thakurgaon,Male,Single,Secondary,Middle class,Yes,31-60,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
36-45,Gaibandha,Male,Married,Illiterate,Middle class,Yes,31-60,Had to wait more than I expected,Yes,No,Yes,Yes,No,7,Yes,Yes,Yes,Yes,Yes,Neutral,satisfied
36-45,Nilphamari,Female,Married,Secondary,Lower middle class,Yes,180+,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,15,Yes,No,Yes,No,Yes,No,dissatisfied
26-35,Nilphamari,Female,Married,Illiterate,Lower Class,No,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,8,Yes,No,No,No,Yes,Neutral,satisfied
55+,Kurigram,Male,Married,Higher Education,Upper middle class,Yes,91-120,As I expected,Yes,Yes,Yes,Yes,No,5,Yes,Yes,No,Yes,Yes,Yes,satisfied
46-55,Kurigram,Male,Married,Secondary,Lower middle class,No,61-90,Had to wait more than I expected,Yes,No,No,Yes,Yes,5,No,No,Yes,No,No,Yes,satisfied
55+,Rangpur,Male,Married,Illiterate,Lower Class,No,61-90,As I expected,Yes,Yes,Yes,No,No,7,No,No,No,No,No,Yes,satisfied
55+,Dinajpur,Male,Married,Higher Education,Upper middle class,No,0-30,As I expected,Yes,Yes,Yes,No,No,15,No,No,No,Yes,Yes,No,dissatisfied
36-45,Rangpur,Female,Married,Primary,Lower middle class,No,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Yes,satisfied
26-35,Rangpur,Female,Married,Higher Education,Middle class,Yes,151-180,As I expected,Yes,Yes,Yes,Yes,Yes,15,No,Yes,Yes,Yes,No,Yes,satisfied
26-35,Rangpur,Male,Single,Secondary,Middle class,Yes,31-60,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes,No,Yes,Yes,satisfied
16-25,Rangpur,Male,Single,Higher Education,Lower middle class,Yes,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,Yes,No,No,Yes,satisfied
16-25,Rangpur,Female,Single,Higher Education,Lower middle class,Yes,61-90,Had to wait more than I expected,Yes,Yes,No,No,Yes,5,No,Yes,Yes,Yes,No,Yes,dissatisfied
46-55,Lalmonirhat,Female,Married,Primary,Middle class,Yes,151-180,Had to wait more than I expected,Yes,Yes,Yes,No,Yes,5,No,Yes,Yes,Yes,Yes,Yes,satisfied
36-45,Nilphamari,Male,Single,Higher Education,Middle class,Yes,91-120,Had to wait more than I expected,Yes,Yes,Yes,Yes,No,7,No,Yes,No,No,No,Yes,dissatisfied
16-25,Rangpur,Male,Single,Higher Education,Middle class,Yes,91-120,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,90,Yes,Yes,Yes,Yes,No,Yes,satisfied
26-35,Rangpur,Male,Single,Higher Education,Lower middle class,No,151-180,Had to wait more than I expected,Yes,Yes,No,Yes,Yes,25,Yes,No,Yes,Yes,Yes,Neutral,dissatisfied
46-55,Kurigram,Female,Married,Higher Education,Middle class,Yes,121-150,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes,No,Yes,satisfied
26-35,Rangpur,Male,Single,Higher Education,Middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,30,Yes,Yes,Yes,Yes,No,Yes,satisfied
46-55,Rangpur,Female,Married,Secondary,Middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes,No,No,Yes,dissatisfied
16-25,Rangpur,Male,Single,Secondary,Upper middle class,No,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,3,Yes,No,No,No,No,Yes,satisfied
16-25,Panchagarh,Male,Single,Secondary,Lower middle class,No,0-30,As I expected,Yes,Yes,No,Yes,Yes,5,Yes,No,No,Yes,No,Yes,satisfied
36-45,Gaibandha,Female,Married,Illiterate,Lower Class,No,151-180,Had to wait more than I expected,Yes,Yes,No,No,Yes,15,No,No,No,No,No,Neutral,satisfied
16-25,Rangpur,Male,Single,Higher Education,Middle class,No,0-30,As I expected,Yes,Yes,No,No,Yes,3,No,No,No,No,No,Yes,satisfied
36-45,Rangpur,Female,Married,Primary,Middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,18,No,No,Yes,Yes,No,Yes,satisfied
26-35,Lalmonirhat,Male,Married,Primary,Lower middle class,No,180+,Had to wait more than I expected,Yes,Yes,No,No,Yes,10,Yes,No,Yes,Yes,No,Yes,satisfied
26-35,Gaibandha,Male,Married,Secondary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,10,No,No,Yes,No,No,Yes,satisfied
26-35,Rangpur,Male,Single,Higher Education,Lower middle class,No,0-30,As I expected,Yes,Yes,Yes,No,Yes,9,No,No,Yes,Yes,No,No,satisfied
26-35,Gaibandha,Female,Married,Primary,Middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,7,Yes,No,Yes,No,No,Yes,satisfied
36-45,Rangpur,Female,Married,Illiterate,Lower Class,No,61-90,Had to wait more than I expected,Yes,Yes,Yes,No,Yes,10,Yes,No,No,No,No,Neutral,satisfied
26-35,Lalmonirhat,Male,Single,Secondary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,No,Yes,5,No,No,No,No,No,Yes,satisfied
16-25,Nilphamari,Female,Married,Secondary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,5,No,Yes,Yes,No,No,Neutral,satisfied
36-45,Gaibandha,Male,Married,Illiterate,Lower middle class,No,151-180,Had to wait more than I expected,Yes,Yes,Yes,Yes,Yes,5,Yes,No,No,No,No,Yes,satisfied
26-35,Kurigram,Female,Married,Higher Education,Middle class,Yes,0-30,As I expected,Yes,Yes,No,Yes,Yes,15,No,Yes,Yes,Yes,No,Yes,satisfied
55+,Rangpur,Female,Married,Illiterate,Middle class,No,91-120,As I expected,Yes,Yes,Yes,No,Yes,10,No,No,Yes,No,No,Yes,satisfied
46-55,Rangpur,Male,Married,Secondary,Middle class,No,91-120,As I expected,Yes,Yes,No,No,Yes,15,Yes,No,Yes,Yes,No,Neutral,dissatisfied
46-55,Rangpur,Female,Married,Secondary,Middle class,No,151-180,Had to wait more than I expected,Yes,Yes,No,Yes,Yes,15,No,No,Yes,No,No,Yes,satisfied
55+,Gaibandha,Male,Married,Secondary,Lower Class,Yes,0-30,As I expected,Yes,Yes,Yes,No,Yes,5,No,No,Yes,Yes,No,Yes,satisfied
46-55,Rangpur,Male,Married,Secondary,Lower middle class,No,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,7,Yes,No,No,No,No,Neutral,satisfied
26-35,Lalmonirhat,Female,Married,Primary,Middle class,No,0-30,Had to wait more than I expected,Yes,Yes,No,No,Yes,8,No,No,Yes,Yes,No,Neutral,satisfied
36-45,Rangpur,Female,Married,Higher Education,Upper middle class,Yes,0-30,As I expected,Yes,Yes,No,Yes,Yes,8,No,Yes,Yes,No,No,Neutral,satisfied
36-45,Kurigram,Female,Married,Higher Education,Middle class,Yes,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,10,No,Yes,Yes,Yes,No,Yes,satisfied
36-45,Kurigram,Female,Married,Secondary,Middle class,No,31-60,As I expected,Yes,Yes,No,No,No,8,Yes,No,No,No,No,Yes,satisfied
26-35,Gaibandha,Female,Single,Primary,Lower middle class,Yes,0-30,As I expected,Yes,Yes,Yes,No,Yes,6,Yes,No,Yes,Yes,No,Yes,satisfied
16-25,Kurigram,Male,Single,Higher Education,Lower middle class,No,151-180,Had to wait more than I expected,Yes,Yes,No,Yes,Yes,10,Yes,No,Yes,Yes,No,No,dissatisfied
46-55,Gaibandha,Female,Married,Illiterate,Lower Class,Yes,31-60,As I expected,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Yes,Yes,No,Yes,satisfied
26-35,Gaibandha,Male,Married,Secondary,Lower Class,No,0-30,As I expected,Yes,Yes,Yes,No,Yes,10,No,Yes,Yes,Yes,No,Yes,satisfied
36-45,Rangpur,Female,Married,Primary,Middle class,No,0-30,As I expected,Yes,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes,No,Yes,satisfied
